column_name,xpath
result_indicator_baseline_location_location_id_code,/iati-activities/iati-activity/result/indicator/baseline/location/location-id/@code
result_indicator_baseline_location_location_id_vocabulary,/iati-activities/iati-activity/result/indicator/baseline/location/location-id/@vocabulary
result_indicator_baseline_location_location_id,/iati-activities/iati-activity/result/indicator/baseline/location/location-id/text()
result_indicator_baseline_location_name_narrative_xml:lang,/iati-activities/iati-activity/result/indicator/baseline/location/name/narrative/@xml:lang
result_indicator_baseline_location_name_narrative,/iati-activities/iati-activity/result/indicator/baseline/location/name/narrative/text()
result_indicator_baseline_location_description_narrative_xml:lang,/iati-activities/iati-activity/result/indicator/baseline/location/description/narrative/@xml:lang
result_indicator_baseline_location_description_narrative,/iati-activities/iati-activity/result/indicator/baseline/location/description/narrative/text()
result_indicator_baseline_location_activity_description_narrative_xml:lang,/iati-activities/iati-activity/result/indicator/baseline/location/activity-description/narrative/@xml:lang
result_indicator_baseline_location_activity_description_narrative,/iati-activities/iati-activity/result/indicator/baseline/location/activity-description/narrative/text()
result_indicator_baseline_location_administrative_code,/iati-activities/iati-activity/result/indicator/baseline/location/administrative/@code
result_indicator_baseline_location_administrative_vocabulary,/iati-activities/iati-activity/result/indicator/baseline/location/administrative/@vocabulary
result_indicator_baseline_location_administrative_level,/iati-activities/iati-activity/result/indicator/baseline/location/administrative/@level
result_indicator_baseline_location_administrative,/iati-activities/iati-activity/result/indicator/baseline/location/administrative/text()
result_indicator_baseline_location_point_srsName,/iati-activities/iati-activity/result/indicator/baseline/location/point/@srsName
result_indicator_baseline_location_point_pos,/iati-activities/iati-activity/result/indicator/baseline/location/point/pos/text()
result_indicator_baseline_location_exactness_code,/iati-activities/iati-activity/result/indicator/baseline/location/exactness/@code
result_indicator_baseline_location_exactness,/iati-activities/iati-activity/result/indicator/baseline/location/exactness/text()
result_indicator_baseline_location_location_class_code,/iati-activities/iati-activity/result/indicator/baseline/location/location-class/@code
result_indicator_baseline_location_location_class,/iati-activities/iati-activity/result/indicator/baseline/location/location-class/text()
result_indicator_baseline_location_feature_designation_code,/iati-activities/iati-activity/result/indicator/baseline/location/feature-designation/@code
result_indicator_baseline_location_feature_designation,/iati-activities/iati-activity/result/indicator/baseline/location/feature-designation/text()
result_indicator_baseline_dimension_name,/iati-activities/iati-activity/result/indicator/baseline/dimension/@name
result_indicator_baseline_dimension_value,/iati-activities/iati-activity/result/indicator/baseline/dimension/@value
result_indicator_baseline_dimension,/iati-activities/iati-activity/result/indicator/baseline/dimension/text()
result_indicator_baseline_document_link,/iati-activities/iati-activity/result/indicator/baseline/document-link/text()
result_indicator_baseline_comment,/iati-activities/iati-activity/result/indicator/baseline/comment/text()
result_indicator_period_period_start_iso_date,/iati-activities/iati-activity/result/indicator/period/period-start/@iso-date
result_indicator_period_period_start,/iati-activities/iati-activity/result/indicator/period/period-start/text()
